Price,NIFTY50,NIFTY_BANK,INDIA_VIX,NIFTY_IT,NIFTY_PHARMA,NIFTY_AUTO,nifty_30d_return,nifty_5d_return,vix_at_open
Ticker,^NSEI,^NSEBANK,^INDIAVIX,^CNXIT,^CNXPHARMA,^CNXAUTO,,,
Date,,,,,,,,,
2010-01-04,5232.2001953125,9112.244140625,23.639999389648438,5877.25,,,,,23.639999389648438
2010-01-05,5277.89990234375,9192.0439453125,22.270000457763672,5913.64990234375,,,,,22.270000457763672
2010-01-06,5281.7998046875,9222.892578125,22.1200008392334,5824.89990234375,,,,,22.1200008392334
2010-01-07,5263.10009765625,9192.84375,22.5,5702.85009765625,,,,,22.5
2010-01-08,5244.75,9160.59375,22.56999969482422,5607.89990234375,,,,,22.56999969482422
2010-01-11,5249.39990234375,9173.443359375,22.68000030517578,5649.64990234375,,,,0.32872799948784337,22.68000030517578
2010-01-12,5210.39990234375,8984.9951171875,23.079999923706055,5862.39990234375,,,,-1.2789177750420322,23.079999923706055
2010-01-13,5233.9501953125,8925.99609375,21.989999771118164,6075.7998046875,,,,-0.9059337942444179,21.989999771118164
2010-01-14,5259.89990234375,8910.6962890625,20.979999542236328,6105.2998046875,,,,-0.06080437865746413,20.979999542236328
2010-01-15,5252.2001953125,8910.99609375,21.079999923706055,6118.39990234375,,,,0.14205053267553058,21.079999923706055
2010-01-18,5274.85009765625,9093.14453125,21.549999237060547,6181.14990234375,,,,0.48482104213734,21.549999237060547
2010-01-19,5225.64990234375,9135.7939453125,22.34000015258789,6068.7001953125,,,,0.2926838685287869,22.34000015258789
2010-01-20,5221.7001953125,9126.2431640625,22.290000915527344,6052.39990234375,,,,-0.23404884538203996,22.290000915527344
2010-01-21,5094.14990234375,8919.1962890625,23.5,5951.89990234375,,,,-3.151200651672925,23.5
2010-01-22,5036.0,8772.548828125,24.850000381469727,5874.60009765625,,,,-4.116373848534083,24.850000381469727
2010-01-25,5007.89990234375,8696.498046875,25.81999969482422,5799.2998046875,,,,-5.060811025342938,25.81999969482422
2010-01-27,4853.10009765625,8329.703125,28.920000076293945,5599.0,,,,-7.1292530431556145,28.920000076293945
